Starting ACHNN training with 16 CPUs and 1 GPU at Mon Apr 14 02:18:49 AM EDT 2025
Batch 100/3570, Loss: 0.7236
Batch 200/3570, Loss: 0.6818
Batch 300/3570, Loss: 0.7095
Batch 400/3570, Loss: 0.7141
Batch 500/3570, Loss: 0.7244
Batch 600/3570, Loss: 0.7224
Batch 700/3570, Loss: 0.7004
Batch 800/3570, Loss: 0.6574
Batch 900/3570, Loss: 0.7116
Batch 1000/3570, Loss: 0.6834
Batch 1100/3570, Loss: 0.7379
Batch 1200/3570, Loss: 0.7019
Batch 1300/3570, Loss: 0.6854
Batch 1400/3570, Loss: 0.7090
Batch 1500/3570, Loss: 0.6770
Batch 1600/3570, Loss: 0.6952
Batch 1700/3570, Loss: 0.7014
Batch 1800/3570, Loss: 0.7062
Batch 1900/3570, Loss: 0.6743
Batch 2000/3570, Loss: 0.7045
Batch 2100/3570, Loss: 0.7013
Batch 2200/3570, Loss: 0.7076
Batch 2300/3570, Loss: 0.7168
Batch 2400/3570, Loss: 0.6922
Batch 2500/3570, Loss: 0.6932
Batch 2600/3570, Loss: 0.7002
Batch 2700/3570, Loss: 0.7021
Batch 2800/3570, Loss: 0.6943
Batch 2900/3570, Loss: 0.6840
Batch 3000/3570, Loss: 0.7011
Batch 3100/3570, Loss: 0.6935
Batch 3200/3570, Loss: 0.7270
Batch 3300/3570, Loss: 0.7124
Batch 3400/3570, Loss: 0.6902
Batch 3500/3570, Loss: 0.7165
Batch 3570/3570, Loss: 0.7003
