Starting ACHNN training with 16 CPUs and 1 GPU at Mon Apr 14 02:22:39 AM EDT 2025
Batch 100/7140, Loss: 0.7439, Grad Norm: 1.9738e+00
Batch 200/7140, Loss: 0.6937, Grad Norm: 1.2696e+00
Batch 300/7140, Loss: 0.6842, Grad Norm: 2.1529e+00
Batch 400/7140, Loss: 0.6520, Grad Norm: 8.6137e-01
Batch 500/7140, Loss: 0.6521, Grad Norm: 1.2971e+00
Batch 600/7140, Loss: 0.7227, Grad Norm: 2.3265e+00
Batch 700/7140, Loss: 0.6936, Grad Norm: 6.8980e-01
Batch 800/7140, Loss: 0.6978, Grad Norm: 7.6350e-01
Batch 900/7140, Loss: 0.7653, Grad Norm: 2.2572e+00
Batch 1000/7140, Loss: 0.6849, Grad Norm: 8.8363e-01
Batch 1100/7140, Loss: 0.7733, Grad Norm: 1.4613e+00
Batch 1200/7140, Loss: 0.6948, Grad Norm: 3.4904e-01
Batch 1300/7140, Loss: 0.6835, Grad Norm: 4.3433e-01
Batch 1400/7140, Loss: 0.7286, Grad Norm: 7.4275e-01
Batch 1500/7140, Loss: 0.6846, Grad Norm: 6.2918e-01
Batch 1600/7140, Loss: 0.6887, Grad Norm: 4.0125e-01
Batch 1700/7140, Loss: 0.6899, Grad Norm: 1.1770e-01
Batch 1800/7140, Loss: 0.6899, Grad Norm: 3.6128e-01
Batch 1900/7140, Loss: 0.6917, Grad Norm: 1.5146e-01
Batch 2000/7140, Loss: 0.7033, Grad Norm: 4.0165e-01
Batch 2100/7140, Loss: 0.6885, Grad Norm: 1.4902e-01
Batch 2200/7140, Loss: 0.6952, Grad Norm: 3.1766e-01
Batch 2300/7140, Loss: 0.6922, Grad Norm: 4.7214e-01
Batch 2400/7140, Loss: 0.6774, Grad Norm: 1.1779e-01
Batch 2500/7140, Loss: 0.6957, Grad Norm: 7.5647e-02
Batch 2600/7140, Loss: 0.6929, Grad Norm: 1.7493e-01
Batch 2700/7140, Loss: 0.7115, Grad Norm: 2.6855e-01
Batch 2800/7140, Loss: 0.6929, Grad Norm: 1.6718e-01
Batch 2900/7140, Loss: 0.6909, Grad Norm: 2.5102e-01
Batch 3000/7140, Loss: 0.6949, Grad Norm: 8.9499e-02
Batch 3100/7140, Loss: 0.6889, Grad Norm: 1.5655e-01
Batch 3200/7140, Loss: 0.7031, Grad Norm: 1.6905e-01
Batch 3300/7140, Loss: 0.6917, Grad Norm: 2.4680e-01
Batch 3400/7140, Loss: 0.6944, Grad Norm: 1.4894e-01
Batch 3500/7140, Loss: 0.6954, Grad Norm: 1.2266e-01
Batch 3600/7140, Loss: 0.7109, Grad Norm: 2.2502e-01
Batch 3700/7140, Loss: 0.6957, Grad Norm: 1.0343e-01
Batch 3800/7140, Loss: 0.6885, Grad Norm: 1.0593e-01
Batch 3900/7140, Loss: 0.6815, Grad Norm: 1.6130e-01
Batch 4000/7140, Loss: 0.7013, Grad Norm: 2.3078e-01
Batch 4100/7140, Loss: 0.6924, Grad Norm: 2.4682e-01
Batch 4200/7140, Loss: 0.6960, Grad Norm: 6.1388e-02
Batch 4300/7140, Loss: 0.7056, Grad Norm: 1.2976e-01
Batch 4400/7140, Loss: 0.6844, Grad Norm: 3.3033e-01
Batch 4500/7140, Loss: 0.6946, Grad Norm: 3.7437e-02
Batch 4600/7140, Loss: 0.6928, Grad Norm: 2.2934e-02
Batch 4700/7140, Loss: 0.6923, Grad Norm: 5.6064e-02
Batch 4800/7140, Loss: 0.6892, Grad Norm: 1.0236e-01
Batch 4900/7140, Loss: 0.7192, Grad Norm: 2.9824e-01
Batch 5000/7140, Loss: 0.7068, Grad Norm: 1.7837e-01
Batch 5100/7140, Loss: 0.6929, Grad Norm: 2.0843e-01
Batch 5200/7140, Loss: 0.6919, Grad Norm: 5.7371e-02
Batch 5300/7140, Loss: 0.6963, Grad Norm: 8.9864e-02
Batch 5400/7140, Loss: 0.6929, Grad Norm: 2.9122e-01
Batch 5500/7140, Loss: 0.6917, Grad Norm: 2.9421e-01
Batch 5600/7140, Loss: 0.6801, Grad Norm: 3.2406e-01
Batch 5700/7140, Loss: 0.6977, Grad Norm: 1.5576e-01
Batch 5800/7140, Loss: 0.6935, Grad Norm: 4.6799e-02
Batch 5900/7140, Loss: 0.6944, Grad Norm: 1.2052e-01
Batch 6000/7140, Loss: 0.6933, Grad Norm: 2.4517e-01
Batch 6100/7140, Loss: 0.6984, Grad Norm: 1.0111e-01
Batch 6200/7140, Loss: 0.6977, Grad Norm: 2.1825e-01
Batch 6300/7140, Loss: 0.6995, Grad Norm: 1.4625e-01
Batch 6400/7140, Loss: 0.6945, Grad Norm: 3.4455e-01
Batch 6500/7140, Loss: 0.6976, Grad Norm: 1.7306e-01
Batch 6600/7140, Loss: 0.6954, Grad Norm: 3.9096e-02
Batch 6700/7140, Loss: 0.6959, Grad Norm: 1.2605e-01
Batch 6800/7140, Loss: 0.6737, Grad Norm: 4.1141e-01
Batch 6900/7140, Loss: 0.6898, Grad Norm: 1.4073e-01
Batch 7000/7140, Loss: 0.6919, Grad Norm: 7.7668e-02
Batch 7100/7140, Loss: 0.6911, Grad Norm: 1.5032e-01
Batch 7140/7140, Loss: 0.7094, Grad Norm: 4.1172e-01
