Starting ACHNN training with 16 CPUs and 1 GPU at Mon Apr 14 02:29:31 AM EDT 2025
Batch 100/7140, Loss: 0.6921, MA Loss: 0.6974, Grad Norm: 3.1634e+00
Batch 200/7140, Loss: 0.7192, MA Loss: 0.7038, Grad Norm: 1.8154e+00
Batch 300/7140, Loss: 0.7564, MA Loss: 0.6947, Grad Norm: 2.7398e+00
Batch 400/7140, Loss: 0.6781, MA Loss: 0.7018, Grad Norm: 1.1182e+00
Batch 500/7140, Loss: 0.7012, MA Loss: 0.6828, Grad Norm: 2.0115e+00
Batch 600/7140, Loss: 0.6946, MA Loss: 0.6712, Grad Norm: 4.2477e+00
Batch 700/7140, Loss: 0.6337, MA Loss: 0.6578, Grad Norm: 2.9208e+00
Batch 800/7140, Loss: 0.6419, MA Loss: 0.6375, Grad Norm: 3.2369e+00
Batch 900/7140, Loss: 0.6030, MA Loss: 0.6118, Grad Norm: 6.2280e+00
Batch 1000/7140, Loss: 0.4975, MA Loss: 0.6015, Grad Norm: 2.4633e+00
Batch 1100/7140, Loss: 0.4883, MA Loss: 0.6084, Grad Norm: 1.7660e+00
Batch 1200/7140, Loss: 0.7177, MA Loss: 0.6100, Grad Norm: 3.1443e+00
Batch 1300/7140, Loss: 0.5734, MA Loss: 0.5187, Grad Norm: 3.7714e+00
Batch 1400/7140, Loss: 0.5865, MA Loss: 0.5738, Grad Norm: 6.1570e+00
Batch 1500/7140, Loss: 0.5399, MA Loss: 0.5816, Grad Norm: 4.0488e+00
Batch 1600/7140, Loss: 0.6870, MA Loss: 0.5266, Grad Norm: 5.0913e+00
Batch 1700/7140, Loss: 0.7162, MA Loss: 0.5076, Grad Norm: 3.6763e+00
Batch 1800/7140, Loss: 0.2669, MA Loss: 0.4992, Grad Norm: 2.9785e+00
Batch 1900/7140, Loss: 0.6607, MA Loss: 0.5304, Grad Norm: 3.8495e+00
Batch 2000/7140, Loss: 0.4582, MA Loss: 0.4591, Grad Norm: 5.4649e+00
Batch 2100/7140, Loss: 0.4032, MA Loss: 0.4530, Grad Norm: 3.2484e+00
Batch 2200/7140, Loss: 0.4084, MA Loss: 0.4468, Grad Norm: 2.5861e+00
Batch 2300/7140, Loss: 0.3782, MA Loss: 0.4427, Grad Norm: 3.5247e+00
Batch 2400/7140, Loss: 0.5695, MA Loss: 0.5331, Grad Norm: 5.9673e+00
Batch 2500/7140, Loss: 0.5956, MA Loss: 0.5112, Grad Norm: 5.8730e+00
Batch 2600/7140, Loss: 0.5990, MA Loss: 0.4695, Grad Norm: 4.6359e+00
Batch 2700/7140, Loss: 0.3575, MA Loss: 0.4611, Grad Norm: 3.6900e+00
Batch 2800/7140, Loss: 0.5828, MA Loss: 0.4257, Grad Norm: 4.7102e+00
Batch 2900/7140, Loss: 0.8269, MA Loss: 0.4491, Grad Norm: 8.4304e+00
Batch 3000/7140, Loss: 0.4460, MA Loss: 0.4627, Grad Norm: 3.0090e+00
Batch 3100/7140, Loss: 0.5791, MA Loss: 0.4667, Grad Norm: 4.8138e+00
Batch 3200/7140, Loss: 0.4239, MA Loss: 0.3576, Grad Norm: 4.3769e+00
Batch 3300/7140, Loss: 0.6039, MA Loss: 0.4395, Grad Norm: 5.5322e+00
Batch 3400/7140, Loss: 0.6041, MA Loss: 0.3780, Grad Norm: 4.9453e+00
Batch 3500/7140, Loss: 0.5518, MA Loss: 0.4382, Grad Norm: 7.0059e+00
Batch 3600/7140, Loss: 0.2843, MA Loss: 0.3724, Grad Norm: 3.6877e+00
